VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -4.115124465,      -4.323003561,       -4.12522206,      -3.686989671
          0,           0,           1,         -5.009315,      -5.141027267,      -4.984479529,      -4.567966708
          0,           0,           2,      -5.212602857,      -5.399109215,       -5.32127665,        -4.7645513
          0,           0,           3,      -5.362106403,      -5.526257815,      -5.443498182,      -4.911661968
          0,           0,           4,       -5.50971842,      -5.674852966,       -5.64383473,      -5.062046143
          0,           0,           5,      -5.635655689,      -5.796441848,       -5.75060097,      -5.197015785
          0,           0,           6,      -5.769146947,      -5.917700404,      -5.840779065,      -5.333861758
          0,           0,           7,      -5.888120502,      -6.035308685,      -5.966655616,      -5.448149035
          0,           0,           8,      -5.990916596,      -6.132646133,       -6.07993766,      -5.547921735
          0,           0,           9,      -6.083206106,      -6.217410044,      -6.189330186,      -5.643833256
          0,           0,          10,       -6.17505139,       -6.31081468,      -6.292443085,      -5.742134648
          0,           0,          11,      -6.271125443,      -6.414767993,      -6.397781301,      -5.843967368
          0,           0,          12,      -6.368565935,       -6.51557753,      -6.508159956,      -5.944936193
          0,           0,          13,      -6.467147281,      -6.605324062,      -6.613108796,       -6.04494827
          0,           0,          14,       -6.56344686,      -6.684606894,      -6.709262366,      -6.143529464
          0,           0,          15,      -6.652426031,      -6.758350514,      -6.803294096,      -6.239493257
          0,           0,          16,      -6.733239747,      -6.828910572,      -6.902474238,      -6.332171805
          0,           0,          17,      -6.809374241,      -6.894739797,      -7.005782384,      -6.421262466
          0,           0,          18,      -6.884484047,      -6.953289551,      -7.105558428,       -6.50770116
          0,           0,          19,      -6.958427947,      -7.003340419,      -7.197449611,      -6.592715729
          0,           0,          20,      -7.027483014,      -7.046219023,      -7.285112172,      -6.676431129
          0,           0,          21,      -7.088112596,       -7.08448948,      -7.373353088,      -6.758228511
          0,           0,          22,      -7.140335164,      -7.119856269,       -7.46129736,       -6.83797066
          0,           0,          23,      -7.186998817,      -7.152809714,       -7.54464123,      -6.916171412
          0,           0,          24,      -7.230442582,      -7.183371895,      -7.622335476,      -6.992767123
          0,           0,          25,      -7.271010406,      -7.211675969,      -7.697463148,      -7.066529874
          0,           0,          26,      -7.308045404,      -7.238041083,      -7.771913289,      -7.135773184
          0,           0,          27,       -7.34134029,      -7.262855701,      -7.843554142,      -7.199510885
          0,           0,          28,      -7.371578349,       -7.28640754,      -7.908702658,      -7.257918404
          0,           0,          29,      -7.399690733,      -7.308904724,      -7.966212966,      -7.311616407
          0,           0,          30,      -7.426294663,      -7.330531121,      -8.017546572,      -7.360965739
          0,           0,          31,      -7.451644763,      -7.351470575,      -8.064057594,      -7.406063619
          0,           0,          32,      -7.475864883,        -7.3718853,      -8.105924135,      -7.447096145
          0,           0,          33,      -7.499116583,      -7.391879193,      -8.143126807,      -7.484473719
          0,           0,          34,        -7.5215966,      -7.411489961,      -8.176289278,      -7.518665629
          0,           0,          35,      -7.543459944,      -7.430720781,      -8.206443418,      -7.550015893
          0,           0,          36,      -7.564797591,      -7.449576424,      -8.234361809,      -7.578772991
          0,           0,          37,      -7.585672973,      -7.468078405,      -8.260370284,      -7.605247176
          0,           0,          38,      -7.606156474,      -7.486262231,      -8.284502334,      -7.629847072
          0,           0,          39,      -7.626330051,      -7.504167999,      -8.306743064,      -7.652980951
          0,           0,          40,      -7.646270407,      -7.521831634,      -8.327161122,      -7.674939889
          0,           0,          41,      -7.666036125,      -7.539281098,       -8.34592819,      -7.695887015
          0,           0,          42,      -7.685663533,      -7.556536708,      -8.363295984,      -7.715909403
          0,           0,          43,      -7.705172942,      -7.573618024,      -8.379523574,      -7.735097491
          0,           0,          44,       -7.72457782,      -7.590543365,      -8.394831747,       -7.75357107
          0,           0,          45,      -7.743887569,      -7.607331303,      -8.409390422,      -7.771464774
          0,           0,          46,      -7.763109927,      -7.624000238,      -8.423319802,      -7.788910235
          0,           0,          47,      -7.782251173,      -7.640566774,      -8.436717249,      -7.806020393
          0,           0,          48,      -7.801316624,      -7.657044663,      -8.449660603,       -7.82288183
          0,           0,          49,      -7.820310247,      -7.673443975,      -8.462212984,      -7.839553306
          0,           0,          50,      -7.839234699,      -7.689771215,      -8.474426287,      -7.856070305
          0,           0,          51,      -7.858091145,      -7.706029841,       -8.48634768,      -7.872453388
          0,           0,          52,      -7.876879443,      -7.722220895,      -8.498021684,      -7.888714422
          0,           0,          53,      -7.895597934,      -7.738343707,      -8.509493191,      -7.904861755
          0,           0,          54,      -7.914244132,      -7.754397722,      -8.520804698,      -7.920906167
          0,           0,          55,       -7.93281476,      -7.770381832,      -8.531998039,      -7.936857452
          0,           0,          56,      -7.951306464,      -7.786295244,      -8.543112954,      -7.952725846
          0,           0,          57,      -7.969716246,      -7.802137699,       -8.55418569,      -7.968522487
          0,           0,          58,      -7.988041489,      -7.817909373,      -8.565248047,      -7.984258522
          0,           0,          59,      -8.006279695,      -7.833610648,      -8.576326971,       -7.99994397
          0,           0,          60,      -8.024427867,      -7.849241642,      -8.587444975,      -8.015586174
          0,           0,          61,      -8.042482568,      -7.864802081,      -8.598619835,      -8.031190199
          0,           0,          62,      -8.060439666,      -7.880290797,      -8.609866299,      -8.046758434
          0,           0,          63,      -8.078294537,      -7.895705709,      -8.621195498,      -8.062291128
          0,           0,          64,      -8.096042579,      -7.911043976,      -8.632615713,      -8.077787218
          0,           0,          65,      -8.113679116,      -7.926302133,        -8.6441332,       -8.09324532
          0,           0,          66,      -8.131200111,      -7.941476214,      -8.655753962,       -8.10866302
          0,           0,          67,      -8.148602165,      -7.956562239,      -8.667483191,      -8.124038264
